970015,5,10:14:16,5,10:51:18,walk,10
960026,5,10:46:01,5,10:56:00,bike,10
1630748,1,23:10:24,1,23:14:17,walk,23
1632388,2,22:03:26,2,22:19:51,taxi,22
1530144,1,7:19:02,1,7:29:09,bus,7
100303,3,6:16:55,3,6:30:35,walk,6
1280722,2,6:07:35,2,6:39:35,car,6
850286,4,18:54:50,4,19:22:55,walk,18
1790133,5,9:06:51,5,9:17:43,walk,9
1632422,2,9:09:19,2,9:12:49,walk,9
1631272,4,9:45:26,4,10:26:14,walk,9
520289,5,15:00:32,5,15:16:02,bus,15
1631388,3,8:12:06,3,22:19:35,bike,8
680789,4,19:57:31,4,21:31:17,walk,19
680123,1,15:56:32,1,16:07:58,walk,15
1632828,2,7:27:39,2,7:30:37,walk,7
520281,4,12:20:51,4,13:50:41,walk,12
1632770,1,8:13:05,1,8:23:32,bus,8
680472,2,21:17:40,2,21:35:34,bike,21
850419,5,7:26:06,5,7:34:04,walk,7
750339,1,6:51:28,1,7:49:40,taxi,6
100360,4,7:58:49,4,8:07:36,subway,7
1050021,1,15:37:37,1,15:57:59,taxi,15
1631880,4,8:17:49,4,21:16:25,bike,8
680570,4,6:53:35,4,7:30:44,bike,6
520143,2,19:53:25,2,20:22:35,bus,19
850676,3,5:43:37,3,6:28:11,bus,5
1632006,4,18:33:12,4,18:55:51,walk,18
1632517,1,9:23:31,1,10:02:01,walk,9
1670853,2,10:02:36,2,10:34:48,bike,10
850323,4,21:23:23,4,21:34:11,walk,21
200194,5,10:01:53,5,10:17:15,bike,10
1470146,5,8:48:53,5,8:55:28,walk,8
1630095,3,20:21:54,3,20:57:19,walk,20
850406,2,12:11:10,2,12:21:24,bus,12
1632745,2,7:31:51,2,7:38:31,bus,7
520414,2,9:02:18,2,9:15:43,bus,9
1531091,3,17:11:28,3,17:23:26,walk,17
1630374,3,11:42:14,3,13:18:19,walk,11
1631872,1,8:26:27,1,8:44:18,walk,8
1630299,5,21:29:21,5,22:02:27,taxi,21
850237,2,18:25:23,2,18:37:43,bus,18
750180,3,6:21:33,3,7:04:20,taxi,6
680014,2,14:56:15,2,15:21:30,bus,14
1631789,2,8:44:57,2,8:47:37,walk,8
1632399,4,21:03:13,4,21:09:43,bus,21
1670872,3,10:00:23,3,10:20:24,bike,10
200080,3,8:32:25,3,8:38:03,walk,8
1530316,5,17:22:35,5,17:25:05,walk,17
1631452,2,7:31:26,2,21:39:49,bike,7
1470198,1,20:33:30,1,20:47:00,walk,20
1630845,5,9:24:05,5,9:27:13,walk,9
1630058,4,12:20:18,4,12:47:01,car,12
750235,3,18:41:16,3,18:43:18,walk,18
960066,5,17:04:57,5,17:28:29,bike,17
810030,1,23:40:23,1,23:49:03,walk,23
620066,1,14:21:01,1,17:29:48,bus,14
1530047,1,15:06:39,1,20:38:55,walk,15
1670011,3,9:46:10,3,9:49:21,bike,9
730004,4,8:55:59,4,8:59:25,walk,8
